RedFighter,BlueFighter,Winner
Jared Cannonier,Nassourdine Imavov,Blue
Dominick Reyes,Dustin Jacoby,Red
Raul Rosas Jr.,Ricky Turcios,Red
Brunno Ferreira,Dustin Stoltzfus,Red
Julian Marquez,Zachary Reese,Blue
Miguel Baeza,Punahele Soriano,Blue
Thiago Moises,Ludovit Klein,Blue
Charles Radtke,Carlos Prates,Blue
Brad Katona,Jesse Butler,Red
Andrea Lee,Montana De La Rosa,Blue
John Castaneda,Daniel Marcos,Blue
Eduarda Moura,Denise Gomes,Blue
Cody Stamann,Taylor Lapilus,Blue
Rayanne dos Santos,Puja Tomar,Blue
Islam Makhachev,Dustin Poirier,Red
Sean Strickland,Paulo Costa,Red
Kevin Holland,Michal Oleksiejczuk,Red
Niko Price,Alex Morono,Red
Randy Brown,Elizeu Zaleski dos Santos,Red
Cesar Almeida,Roman Kopylov,Blue
Jailton Almeida,Alexandr Romanov,Red
Grant Dawson,Joe Solecki,Red
Phil Rowe,Jake Matthews,Blue
Mickey Gall,Bassil Hafez,Blue
Ailin Perez,Joselyne Edwards,Red
Mitch Raposo,Andre Lima,Blue
Islam Makhachev,Dustin Poirier,Red
Sean Strickland,Paulo Costa,Red
Kevin Holland,Michal Oleksiejczuk,Red
Niko Price,Alex Morono,Red
Randy Brown,Elizeu Zaleski dos Santos,Red
Cesar Almeida,Roman Kopylov,Blue
Jailton Almeida,Alexandr Romanov,Red
Grant Dawson,Joe Solecki,Red
Phil Rowe,Jake Matthews,Blue
Mickey Gall,Bassil Hafez,Blue
Ailin Perez,Joselyne Edwards,Red
Mitch Raposo,Andre Lima,Blue
Edson Barboza,Lerone Murphy,Blue
Khaos Williams,Carlston Harris,Red
Themba Gorimbo,Ramiz Brahimaj,Red
Adrian Yanez,Vinicius Salvador,Red
Luana Pinheiro,Angela Hill,Blue
Victor Martinez,Tom Nolan,Blue
Oumar Sy,Tuco Tokkos,Red
Tamires Vidal,Melissa Gatto,Blue
Abus Magomedov,Warlley Alves,Red
Piera Rodriguez,Ariane Carnelossi,Blue
Alatengheili,Kleydson Rodrigues,Red
Vanessa Demopoulos,Emily Ducote,Red
Edson Barboza,Lerone Murphy,Blue
Khaos Williams,Carlston Harris,Red
Themba Gorimbo,Ramiz Brahimaj,Red
Adrian Yanez,Vinicius Salvador,Red
Luana Pinheiro,Angela Hill,Blue
Victor Martinez,Tom Nolan,Blue
Oumar Sy,Tuco Tokkos,Red
Tamires Vidal,Melissa Gatto,Blue
Abus Magomedov,Warlley Alves,Red
Piera Rodriguez,Ariane Carnelossi,Blue
Alatengheili,Kleydson Rodrigues,Red
Vanessa Demopoulos,Emily Ducote,Red
Edson Barboza,Lerone Murphy,Blue
Khaos Williams,Carlston Harris,Red
Themba Gorimbo,Ramiz Brahimaj,Red
Adrian Yanez,Vinicius Salvador,Red
Luana Pinheiro,Angela Hill,Blue
Victor Martinez,Tom Nolan,Blue
Oumar Sy,Tuco Tokkos,Red
Tamires Vidal,Melissa Gatto,Blue
